Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
rpl24	rpl24	NC_007112.7	-	6642	11878	2122.368408	1942.473511	2824.760498
cep97	cep97	NC_007112.7	+	11922	16373	2.462163	2.321069	3.375317
nfkbiz	nfkbiz	NC_007112.7	+	18648	23838	7.163054	8.340757	12.129197
eed	eed	NC_007112.7	+	27688	34330	10.928983	10.002627	14.545901
hikeshi	hikeshi	NC_007112.7	+	36734	39191	20.383816	18.656055	27.129786
tmem39a	tmem39a	NC_007112.7	-	39325	44525	10.860175	9.939651	14.454321
ildr1a	ildr1a	NC_007112.7	-	44839	49831	2.257816	2.066440	3.005034
LOC100332762	LOC100332762	NC_007112.7	-	50828	65003	0.560369	0.535535	0.778780
si:zfos-1011f11.1	si:zfos-1011f11.1	NC_007112.7	-	65705	71667	0.047810	0.072340	0.105197
zgc:163025	zgc:163025	NC_007112.7	+	109798	119138	0.711391	0.651092	0.946824
f7	f7	NC_007112.7	+	119960	125246	0.081260	0.074372	0.108153
f7i	f7i	NC_007112.7	+	127258	134079	0.080874	0.074019	0.107639
f10	f10	NC_007112.7	+	136020	142173	4.509507	4.127275	6.001916
prozb	prozb	NC_007112.7	+	144291	152006	0.000000	0.000000	0.000000
pcid2	pcid2	NC_007112.7	-	152007	157567	7.665049	7.114643	10.346171
cul4a	cul4a	NC_007112.7	+	157793	168647	13.438942	12.299839	17.886524
zgc:64072	zgc:64072	NC_007112.7	+	171765	183800	10.047421	9.195787	13.372588
grtp1a	grtp1a	NC_007112.7	-	184908	191971	1.886848	1.773581	2.579156
adprhl1	adprhl1	NC_007112.7	-	197236	206299	0.000000	0.000000	0.000000
dcun1d2b	dcun1d2b	NC_007112.7	-	208177	214921	5.764533	5.275923	7.672290
tmco3	tmco3	NC_007112.7	+	214860	226001	1.574394	1.440946	2.095436
tfdp1b	tfdp1b	NC_007112.7	+	227222	241708	4.313545	3.994863	5.809361
grk1a	grk1a	NC_007112.7	+	245137	256233	0.000000	0.000000	0.000000
cenpe	cenpe	NC_007112.7	+	259991	296057	0.384173	0.357113	0.519317
tmem255b	tmem255b	NC_007112.7	+	296919	309348	0.000000	0.000000	0.000000
LOC108187164	LOC108187164	NC_007112.7	+	309401	312613	0.000000	0.000000	0.000000
gas6	gas6	NC_007112.7	-	312784	338268	3.102032	2.839099	4.128641
pros1	pros1	NC_007112.7	-	343292	354114	12.331969	11.286695	16.413202
rasa3	rasa3	NC_007112.7	-	357227	411366	3.550457	3.306992	4.809055
tpp2	tpp2	NC_007112.7	+	418866	443739	2.131320	1.950883	2.836990
LOC100149425	LOC100149425	NC_007112.7	-	443174	462291	0.000000	0.000000	0.000000
zgc:92518	zgc:92518	NC_007112.7	-	466780	471939	0.000000	0.000000	0.000000
ercc5	ercc5	NC_007112.7	-	474073	494309	3.266246	2.989394	4.347201
blzf1	blzf1	NC_007112.7	+	494297	505620	7.117320	6.578453	9.566440
trmt10c	trmt10c	NC_007112.7	-	509021	513786	10.419521	9.536348	13.867834
