Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
rpl24	rpl24	NC_007112.7	-	6642	11878	5117.433594	1838.362061	2674.081543
cep97	cep97	NC_007112.7	+	11922	16373	5.808466	2.176905	3.166526
nfkbiz	nfkbiz	NC_007112.7	+	18648	23838	17.893934	8.645005	12.575025
eed	eed	NC_007112.7	+	27688	34330	25.516315	9.166357	13.333385
hikeshi	hikeshi	NC_007112.7	+	36734	39191	52.336994	18.801287	27.348356
tmem39a	tmem39a	NC_007112.7	-	39325	44525	26.560452	9.541448	13.878991
ildr1a	ildr1a	NC_007112.7	-	44839	49831	4.712279	1.692816	2.462371
LOC100332762	LOC100332762	NC_007112.7	-	50828	65003	1.592759	0.587219	0.854169
si:zfos-1011f11.1	si:zfos-1011f11.1	NC_007112.7	-	65705	71667	0.141323	0.083930	0.122084
zgc:163025	zgc:163025	NC_007112.7	+	109798	119138	1.064990	0.382582	0.556504
f7	f7	NC_007112.7	+	119960	125246	0.584854	0.210100	0.305612
f7i	f7i	NC_007112.7	+	127258	134079	0.309327	0.111121	0.161637
f10	f10	NC_007112.7	+	136020	142173	9.821954	3.528391	5.132398
prozb	prozb	NC_007112.7	+	144291	152006	0.000000	0.000000	0.000000
pcid2	pcid2	NC_007112.7	-	152007	157567	20.163229	7.256551	10.555379
cul4a	cul4a	NC_007112.7	+	157793	168647	34.483833	12.387806	18.019302
zgc:64072	zgc:64072	NC_007112.7	+	171765	183800	29.769617	10.694293	15.555921
grtp1a	grtp1a	NC_007112.7	-	184908	191971	4.860203	1.771138	2.576298
adprhl1	adprhl1	NC_007112.7	-	197236	206299	0.000000	0.000000	0.000000
dcun1d2b	dcun1d2b	NC_007112.7	-	208177	214921	16.417931	5.976162	8.692926
tmco3	tmco3	NC_007112.7	+	214860	226001	4.743459	1.704017	2.478664
tfdp1b	tfdp1b	NC_007112.7	+	227222	241708	12.183574	4.493309	6.535968
grk1a	grk1a	NC_007112.7	+	245137	256233	0.000000	0.000000	0.000000
cenpe	cenpe	NC_007112.7	+	259991	296057	1.081543	0.394637	0.574039
tmem255b	tmem255b	NC_007112.7	+	296919	309348	0.000000	0.000000	0.000000
LOC108187164	LOC108187164	NC_007112.7	+	309401	312613	0.052418	0.018830	0.027391
gas6	gas6	NC_007112.7	-	312784	338268	7.202642	2.587442	3.763694
pros1	pros1	NC_007112.7	-	343292	354114	32.010136	11.499166	16.726688
rasa3	rasa3	NC_007112.7	-	357227	411366	7.831404	2.866622	4.169789
tpp2	tpp2	NC_007112.7	+	418866	443739	4.771256	1.718984	2.500434
