Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
rpl24	rpl24	NC_007112.7	-	6642	11878	3006.903076	2418.172363	3244.585449
cep97	cep97	NC_007112.7	+	11922	16373	3.185122	2.612399	3.505190
nfkbiz	nfkbiz	NC_007112.7	+	18648	23838	9.038293	9.582397	12.857193
eed	eed	NC_007112.7	+	27688	34330	8.018554	6.448576	8.652385
hikeshi	hikeshi	NC_007112.7	+	36734	39191	19.826012	15.944216	21.393171
tmem39a	tmem39a	NC_007112.7	-	39325	44525	14.972543	12.041022	16.156055
ildr1a	ildr1a	NC_007112.7	-	44839	49831	2.406434	1.935271	2.596652
LOC100332762	LOC100332762	NC_007112.7	-	50828	65003	0.511520	0.411368	0.551953
si:zfos-1011f11.1	si:zfos-1011f11.1	NC_007112.7	-	65705	71667	0.000000	0.000000	0.000000
zgc:163025	zgc:163025	NC_007112.7	+	109798	119138	0.400186	0.321832	0.431819
f7	f7	NC_007112.7	+	119960	125246	0.082919	0.066684	0.089473
f7i	f7i	NC_007112.7	+	127258	134079	0.000000	0.000000	0.000000
f10	f10	NC_007112.7	+	136020	142173	5.046672	4.058568	5.445589
prozb	prozb	NC_007112.7	+	144291	152006	0.000000	0.000000	0.000000
pcid2	pcid2	NC_007112.7	-	152007	157567	5.343447	4.305073	5.776337
cul4a	cul4a	NC_007112.7	+	157793	168647	17.194368	13.827830	18.553507
zgc:64072	zgc:64072	NC_007112.7	+	171765	183800	8.122274	6.531989	8.764304
grtp1a	grtp1a	NC_007112.7	-	184908	191971	1.938389	1.581349	2.121777
adprhl1	adprhl1	NC_007112.7	-	197236	206299	0.000000	0.000000	0.000000
dcun1d2b	dcun1d2b	NC_007112.7	-	208177	214921	8.947151	7.195361	9.654384
tmco3	tmco3	NC_007112.7	+	214860	226001	1.579650	1.270365	1.704514
tfdp1b	tfdp1b	NC_007112.7	+	227222	241708	4.800576	3.963455	5.317970
grk1a	grk1a	NC_007112.7	+	245137	256233	0.000000	0.000000	0.000000
cenpe	cenpe	NC_007112.7	+	259991	296057	0.098157	0.079133	0.106177
tmem255b	tmem255b	NC_007112.7	+	296919	309348	0.000000	0.000000	0.000000
LOC108187164	LOC108187164	NC_007112.7	+	309401	312613	0.077150	0.062045	0.083248
gas6	gas6	NC_007112.7	-	312784	338268	3.295122	2.649960	3.555587
pros1	pros1	NC_007112.7	-	343292	354114	15.309162	12.311734	16.519283
rasa3	rasa3	NC_007112.7	-	357227	411366	3.399085	2.785369	3.737272
tpp2	tpp2	NC_007112.7	+	418866	443739	1.618544	1.301902	1.746828
LOC100149425	LOC100149425	NC_007112.7	-	443174	462291	0.000000	0.000000	0.000000
zgc:92518	zgc:92518	NC_007112.7	-	466780	471939	0.000000	0.000000	0.000000
ercc5	ercc5	NC_007112.7	-	474073	494309	4.658243	3.746191	5.026456
